Grade Distribution By Course,,,
_,,,
_,,,
College of Agricultural Sci,,,
Agricultural Education,,,
_,,,
Grade: B-,  Credits: 3,  Student Count: 4,  Pct: 16.67
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 4.17
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 4.17
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 8.33
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 4.17
_,,,
Course: ANS 431  Student Total: 30  Credit Hours: 4  Grade Pts: 405.6  GPA Hours: 120  GPA: 3.38,,,
Grade: A,  Credits: 4,  Student Count: 9,  Pct: 30
Grade: A-,  Credits: 4,  Student Count: 5,  Pct: 16.67
Grade: B,  Credits: 4,  Student Count: 4,  Pct: 13.33
Grade: B+,  Credits: 4,  Student Count: 7,  Pct: 23.33
Grade: B-,  Credits: 4,  Student Count: 3,  Pct: 10
Grade: C,  Credits: 4,  Student Count: 1,  Pct: 3.33
Grade: C-,  Credits: 4,  Student Count: 1,  Pct: 3.33
_,,,
Course: ANS 440  Student Total: 14  Credit Hours: 3  Grade Pts: 159.9  GPA Hours: 42  GPA: 3.81,,,
Grade: A,  Credits: 3,  Student Count: 11,  Pct: 78.57
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 14.29
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 7.14
_,,,
Course: ANS 441  Student Total: 26  Credit Hours: 3  Grade Pts: 261.6  GPA Hours: 72  GPA: 3.63,,,
Grade: A,  Credits: 3,  Student Count: 16,  Pct: 61.54
Grade: B,  Credits: 3,  Student Count: 4,  Pct: 15.38
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 7.69
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 7.69
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 7.69
_,,,
Course: ANS 446  Student Total: 28  Credit Hours: 4  Grade Pts: 304.4  GPA Hours: 108  GPA: 2.82,,,
Grade: A,  Credits: 4,  Student Count: 8,  Pct: 28.57
Grade: A-,  Credits: 4,  Student Count: 6,  Pct: 21.43
Grade: B,  Credits: 4,  Student Count: 1,  Pct: 3.57
Grade: B+,  Credits: 4,  Student Count: 4,  Pct: 14.29
Grade: B-,  Credits: 4,  Student Count: 1,  Pct: 3.57
Grade: C+,  Credits: 4,  Student Count: 1,  Pct: 3.57
Grade: D-,  Credits: 4,  Student Count: 1,  Pct: 3.57
Grade: F,  Credits: 4,  Student Count: 5,  Pct: 17.86
Grade: W,  Credits: 4,  Student Count: 1,  Pct: 3.57
_,,,
Course: ANS 450  Student Total: 28  Credit Hours: 3  Grade Pts: 286.8  GPA Hours: 75  GPA: 3.82,,,
Grade: A,  Credits: 3,  Student Count: 20,  Pct: 71.43
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 3.57
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 10.71
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 3.57
Grade: I/F,  Credits: 3,  Student Count: 1,  Pct: 3.57
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 3.57
Grade: W,  Credits: 3,  Student Count: 1,  Pct: 3.57
_,,,
Course: ANS 460  Student Total: 27  Credit Hours: 4  Grade Pts: 411.2  GPA Hours: 108  GPA: 3.81,,,
Grade: A,  Credits: 4,  Student Count: 21,  Pct: 77.78
Grade: B+,  Credits: 4,  Student Count: 5,  Pct: 18.52
Grade: C+,  Credits: 4,  Student Count: 1,  Pct: 3.7
_,,,
Course: RNG 121  Student Total: 100  Credit Hours: 4  Grade Pts: 1310  GPA Hours: 356  GPA: 3.68,,,
Grade: A,  Credits: 4,  Student Count: 62,  Pct: 62
Grade: A-,  Credits: 4,  Student Count: 11,  Pct: 11
Grade: B,  Credits: 4,  Student Count: 4,  Pct: 4
Grade: B+,  Credits: 4,  Student Count: 6,  Pct: 6
Grade: B-,  Credits: 4,  Student Count: 1,  Pct: 1
Grade: C,  Credits: 4,  Student Count: 1,  Pct: 1
Grade: D,  Credits: 4,  Student Count: 1,  Pct: 1
Grade: D+,  Credits: 4,  Student Count: 1,  Pct: 1
Grade: F,  Credits: 4,  Student Count: 2,  Pct: 2
Grade: I/F,  Credits: 4,  Student Count: 1,  Pct: 1
Grade: S,  Credits: 4,  Student Count: 6,  Pct: 6
Grade: U,  Credits: 4,  Student Count: 2,  Pct: 2
Grade: W,  Credits: 4,  Student Count: 2,  Pct: 2
_,,,
Course: RNG 341  Student Total: 80  Credit Hours: 3  Grade Pts: 717.3  GPA Hours: 231  GPA: 3.11,,,
Grade: A,  Credits: 3,  Student Count: 28,  Pct: 35
Grade: A-,  Credits: 3,  Student Count: 15,  Pct: 18.75
Grade: B,  Credits: 3,  Student Count: 9,  Pct: 11.25
Grade: B+,  Credits: 3,  Student Count: 6,  Pct: 7.5
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 3.75
Grade: C,  Credits: 3,  Student Count: 4,  Pct: 5
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 2.5
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 2.5
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 1.25
Grade: F,  Credits: 3,  Student Count: 7,  Pct: 8.75
