Grade Distribution By Course,,,
,,,
,,,
Grade: B-,  Credits: 4,  Student Count: 1,  Pct: 4.17
Grade: C,  Credits: 4,  Student Count: 2,  Pct: 8.33
Grade: C+,  Credits: 4,  Student Count: 1,  Pct: 4.17
Grade: F,  Credits: 4,  Student Count: 2,  Pct: 8.33
Grade: W,  Credits: 4,  Student Count: 3,  Pct: 12.5
,,,
Course: RNG 455  Student Total: 15  Credit Hours: 4  Grade Pts: 206  GPA Hours: 60  GPA: 3.43,,,
Grade: A,  Credits: 4,  Student Count: 5,  Pct: 33.33
Grade: A-,  Credits: 4,  Student Count: 4,  Pct: 26.67
Grade: B,  Credits: 4,  Student Count: 3,  Pct: 20
Grade: B+,  Credits: 4,  Student Count: 1,  Pct: 6.67
Grade: B-,  Credits: 4,  Student Count: 1,  Pct: 6.67
Grade: C-,  Credits: 4,  Student Count: 1,  Pct: 6.67
,,,
Course: RNG 557  Student Total: 10  Credit Hours: 3  Grade Pts: 89.1  GPA Hours: 24  GPA: 3.71,,,
,,,
,,,
,,,
,,,
,,,
,,,
College of Agricultural Sci,,,
Applied Economics,,,
,,,
Course: AEC 122  Student Total: 140  Credit Hours: 3  Grade Pts: 1168.5  GPA Hours: 396  GPA: 2.95,,,
Grade: A,  Credits: 3,  Student Count: 45,  Pct: 32.14
Grade: A-,  Credits: 3,  Student Count: 19,  Pct: 13.57
Grade: B,  Credits: 3,  Student Count: 19,  Pct: 13.57
Grade: B+,  Credits: 3,  Student Count: 11,  Pct: 7.86
Grade: B-,  Credits: 3,  Student Count: 5,  Pct: 3.57
Grade: C,  Credits: 3,  Student Count: 4,  Pct: 2.86
Grade: C+,  Credits: 3,  Student Count: 3,  Pct: 2.14
Grade: C-,  Credits: 3,  Student Count: 6,  Pct: 4.29
Grade: D,  Credits: 3,  Student Count: 2,  Pct: 1.43
Grade: D+,  Credits: 3,  Student Count: 3,  Pct: 2.14
Grade: D-,  Credits: 3,  Student Count: 2,  Pct: 1.43
Grade: F,  Credits: 3,  Student Count: 13,  Pct: 9.29
Grade: I/F,  Credits: 3,  Student Count: 1,  Pct: .71
Grade: S,  Credits: 3,  Student Count: 2,  Pct: 1.43
Grade: W,  Credits: 3,  Student Count: 5,  Pct: 3.57
,,,
Course: AEC 250  Student Total: 145  Credit Hours: 4  Grade Pts: 1741.6  GPA Hours: 516  GPA: 3.38,,,
Grade: A,  Credits: 4,  Student Count: 63,  Pct: 43.45
Grade: A-,  Credits: 4,  Student Count: 17,  Pct: 11.72
Grade: B,  Credits: 4,  Student Count: 16,  Pct: 11.03
Grade: B+,  Credits: 4,  Student Count: 8,  Pct: 5.52
Grade: B-,  Credits: 4,  Student Count: 9,  Pct: 6.21
Grade: C,  Credits: 4,  Student Count: 2,  Pct: 1.38
Grade: C+,  Credits: 4,  Student Count: 6,  Pct: 4.14
Grade: C-,  Credits: 4,  Student Count: 1,  Pct: .69
Grade: D,  Credits: 4,  Student Count: 1,  Pct: .69
Grade: D+,  Credits: 4,  Student Count: 1,  Pct: .69
Grade: F,  Credits: 4,  Student Count: 5,  Pct: 3.45
Grade: I/F,  Credits: 4,  Student Count: 1,  Pct: .69
Grade: S,  Credits: 4,  Student Count: 1,  Pct: .69
Grade: W,  Credits: 4,  Student Count: 14,  Pct: 9.66
,,,
Course: AEC 251  Student Total: 96  Credit Hours: 4  Grade Pts: 994.8  GPA Hours: 368  GPA: 2.7,,,
Grade: A,  Credits: 4,  Student Count: 19,  Pct: 19.79
Grade: A-,  Credits: 4,  Student Count: 5,  Pct: 5.21
Grade: B,  Credits: 4,  Student Count: 29,  Pct: 30.21
Grade: B+,  Credits: 4,  Student Count: 4,  Pct: 4.17
Grade: B-,  Credits: 4,  Student Count: 1,  Pct: 1.04
Grade: C,  Credits: 4,  Student Count: 18,  Pct: 18.75
Grade: C+,  Credits: 4,  Student Count: 3,  Pct: 3.13
Grade: C-,  Credits: 4,  Student Count: 3,  Pct: 3.13
Grade: D,  Credits: 4,  Student Count: 2,  Pct: 2.08
Grade: D+,  Credits: 4,  Student Count: 1,  Pct: 1.04
Grade: F,  Credits: 4,  Student Count: 7,  Pct: 7.29
Grade: S,  Credits: 4,  Student Count: 1,  Pct: 1.04
Grade: W,  Credits: 4,  Student Count: 3,  Pct: 3.13
,,,
Course: AEC 253  Student Total: 122  Credit Hours: 4  Grade Pts: 1431.2  GPA Hours: 456  GPA: 3.14,,,
Grade: A,  Credits: 4,  Student Count: 47,  Pct: 38.52
Grade: A-,  Credits: 4,  Student Count: 15,  Pct: 12.3
Grade: B,  Credits: 4,  Student Count: 16,  Pct: 13.11
Grade: B+,  Credits: 4,  Student Count: 6,  Pct: 4.92
Grade: B-,  Credits: 4,  Student Count: 9,  Pct: 7.38
Grade: C,  Credits: 4,  Student Count: 4,  Pct: 3.28
Grade: C+,  Credits: 4,  Student Count: 4,  Pct: 3.28
Grade: C-,  Credits: 4,  Student Count: 1,  Pct: .82
Grade: D,  Credits: 4,  Student Count: 2,  Pct: 1.64
Grade: D+,  Credits: 4,  Student Count: 1,  Pct: .82
Grade: F,  Credits: 4,  Student Count: 9,  Pct: 7.38
Grade: S,  Credits: 4,  Student Count: 1,  Pct: .82
Grade: U,  Credits: 4,  Student Count: 1,  Pct: .82
Grade: W,  Credits: 4,  Student Count: 6,  Pct: 4.92
,,,
Course: AEC 351  Student Total: 46  Credit Hours: 3  Grade Pts: 406.2  GPA Hours: 120  GPA: 3.39,,,
Grade: A,  Credits: 3,  Student Count: 14,  Pct: 30.43
Grade: A-,  Credits: 3,  Student Count: 5,  Pct: 10.87
Grade: B,  Credits: 3,  Student Count: 7,  Pct: 15.22
Grade: B+,  Credits: 3,  Student Count: 7,  Pct: 15.22
Grade: B-,  Credits: 3,  Student Count: 4,  Pct: 8.7
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 2.17
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 2.17
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 2.17
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 2.17
Grade: W,  Credits: 3,  Student Count: 5,  Pct: 10.87
,,,
Course: AEC 352  Student Total: 61  Credit Hours: 3  Grade Pts: 486.6  GPA Hours: 168  GPA: 2.9,,,
Grade: A,  Credits: 3,  Student Count: 11,  Pct: 18.03
